"L [mm]","Freq [GHz]","re(Z(1,1)) []"
10,0.9,0.174980889040639
10,0.950753768844221,0.174926205829098
10,1.00150753768844,0.175412890748768
10,1.05226130653266,0.176384374499465
10,1.10301507537688,0.177800296931097
10,1.15376884422111,0.179632729016735
10,1.20452261306533,0.181863534112426
10,1.25527638190955,0.184482515163991
10,1.30603015075377,0.187486116786993
10,1.35678391959799,0.190876528817524
10,1.40753768844221,0.194661088404636
10,1.45829145728643,0.198851911269199
10,1.50904522613065,0.203465705608802
10,1.55979899497487,0.208523738133719
10,1.6105527638191,0.214051933318214
10,1.66130653266332,0.220081095731111
10,1.71206030150754,0.226647252338883
10,1.76281407035176,0.233792117699501
10,1.81356783919598,0.241563690545213
10,1.8643216080402,0.2500169958344
10,1.91507537688442,0.259214992339983
10,1.96582914572864,0.269229672632741
10,2.01658291457286,0.280143390351337
10,2.06733668341709,0.292050459445434
10,2.11809045226131,0.30505908228231
10,2.16884422110553,0.319293678959696
10,2.21959798994975,0.3348977099794
10,2.27035175879397,0.35203711010656
10,2.32110552763819,0.370904484813556
10,2.37185929648241,0.391724265015077
10,2.42261306532663,0.414759074788784
10,2.47336683417085,0.440317646018906
10,2.52412060301508,0.468764721346413
10,2.5748743718593,0.500533533926531
10,2.62562814070352,0.536141656017298
10,2.67638190954774,0.576211293082907
10,2.72713567839196,0.621495502927137
10,2.77788944723618,0.672912396628083
10,2.8286432160804,0.731590216477944
10,2.87939698492462,0.798927421747081
10,2.93015075376884,0.876673762914514
10,2.98090452261307,0.967041142065004
10,3.03165829145729,1.07285742779001
10,3.08241206030151,1.19778331348034
10,3.13316582914573,1.3466235141077
10,3.18391959798995,1.52578219676854
10,3.23467336683417,1.74394427267478
10,3.28542713567839,2.01312000204032
10,3.33618090452261,2.35029201994773
10,3.38693467336683,2.7800964079615
10,3.43768844221106,3.33935074903014
10,3.48844221105528,4.08503759794212
10,3.5391959798995,5.10911546254422
10,3.58994974874372,6.56773322637134
10,3.64070351758794,8.74336447419228
10,3.69145728643216,12.1901383478425
10,3.74221105527638,18.118734798623
10,3.7929648241206,29.6052051242784
10,3.84371859296482,56.4747873420837
10,3.89447236180905,145.422395850673
10,3.94522613065327,856.913762204789
10,3.99597989949749,2262.20025486547
10,4.04673366834171,219.868957503138
10,4.09748743718593,75.1083790317857
10,4.14824120603015,37.6644487897909
10,4.19899497487437,22.7026960162823
10,4.24974874371859,15.2493302410878
10,4.30050251256282,11.002879372751
10,4.35125628140704,8.3544179986504
10,4.40201005025126,6.59157533605
10,4.45276381909548,5.35943045873085
10,4.5035175879397,4.46497948132312
10,4.55427135678392,3.7959316945653
10,4.60502512562814,3.28335245507903
10,4.65577889447236,2.88304038668791
10,4.70653266331658,2.56562249760552
10,4.7572864321608,2.31099766999839
10,4.80804020100503,2.10507800299415
10,4.85879396984925,1.93780559199694
10,4.90954773869347,1.80190829575371
10,4.96030150753769,1.6921007136857
10,5.01105527638191,1.60456378474169
10,5.06180904522613,1.53660615999965
10,5.11256281407035,1.4864505993304
10,5.16331658291457,1.45311315085189
10,5.21407035175879,1.43635938778336
10,5.26482412060301,1.43673511469842
10,5.31557788944724,1.45568223180405
10,5.36633165829146,1.49576766191916
10,5.41708542713568,1.56108010871651
10,5.4678391959799,1.65789640662687
10,5.51859296482412,1.79580775240978
10,5.56934673366834,1.9896731291224
10,5.62010050251256,2.26314253451669
10,5.67085427135678,2.65534123348955
10,5.721608040201,3.2343738695174
10,5.77236180904523,4.12681401670704
10,5.82311557788945,5.5886859765306
10,5.87386934673367,8.19883916418426
10,5.92462311557789,13.4764843587792
10,5.97537688442211,26.2707410785201
10,6.02613065326633,64.6301115976446
10,6.07688442211055,129.434140399427
10,6.12763819095477,64.6980934459984
10,6.178391959799,25.8815452858008
10,6.22914572864322,13.0465428076395
10,6.27989949748744,7.7895742010628
10,6.33065326633166,5.19913144743561
10,6.38140703517588,3.74791892449882
10,6.4321608040201,2.85750260071877
10,6.48291457286432,2.27325992947804
10,6.53366834170854,1.86975464728845
10,6.58442211055276,1.57962675741226
10,6.63517587939698,1.36416420740456
10,6.68592964824121,1.19986943066498
10,6.73668341708543,1.07182485286649
10,6.78743718592965,0.970198041517829
10,6.83819095477387,0.8882991461558
10,6.88894472361809,0.821450997608374
10,6.93969849246231,0.766305839218118
10,6.99045226130653,0.720418001282335
10,7.04120603015075,0.681968671459589
10,7.09195979899498,0.649583977861297
10,7.1427135678392,0.622211959549089
10,7.19346733668342,0.599037647355954
10,7.24422110552764,0.579423373715371
10,7.29497487437186,0.562866130665444
10,7.34572864321608,0.548966666576397
10,7.3964824120603,0.537406807700676
10,7.44723618090452,0.52793263771317
10,7.49798994974874,0.520341915788187
10,7.54874371859297,0.514474609772826
10,7.59949748743719,0.510205756035492
10,7.65025125628141,0.507440087791714
10,7.70100502512563,0.506108034766753
10,7.75175879396985,0.506162811969636
10,7.80251256281407,0.507578399303037
10,7.85326633165829,0.510348276957247
10,7.90402010050251,0.51448483114148
10,7.95477386934673,0.520019385845552
10,8.00552763819096,0.527002852961824
10,8.05628140703518,0.535507028575789
10,8.1070351758794,0.545626600701965
10,8.15778894472362,0.557481976565357
10,8.20854271356784,0.571223089717472
10,8.25929648241206,0.587034414021184
10,8.31005025125628,0.605141499964186
10,8.3608040201005,0.625819469016342
10,8.41155778894472,0.649404068689579
10,8.46231155778895,0.676306126802909
10,8.51306532663317,0.707030582025931
10,8.56381909547739,0.742201761483051
10,8.61457286432161,0.78259730773283
10,8.66532663316583,0.829194259663509
10,8.71608040201005,0.883232482595103
10,8.76683417085427,0.946303287012772
10,8.81758793969849,1.0204752984734
10,8.86834170854271,1.10847654385516
10,8.91909547738694,1.21396329263346
10,8.96984924623115,1.34192615399544
10,9.02060301507538,1.49931946779912
10,9.0713567839196,1.69606558407057
10,9.12211055276382,1.94671154320476
10,9.17286432160804,2.27326896435064
10,9.22361809045226,2.71030545763806
10,9.27437185929648,3.31457017336058
10,9.32512562814071,4.1843910516357
10,9.37587939698492,5.50194792141601
10,9.42663316582915,7.63492198018318
10,9.47738693467337,11.4140752505531
10,9.52814070351759,19.0319656963777
10,9.57889447236181,37.7238281359343
10,9.62964824120603,100.098036234377
10,9.68040201005025,321.441681090302
10,9.73115577889447,180.788420107006
10,9.78190954773869,61.0501517262495
10,9.83266331658291,29.2043213888331
10,9.88341708542714,17.4758678448522
10,9.93417085427136,12.0343092665134
10,9.98492462311558,9.13069669150849
10,10.0356783919598,7.44734769918793
10,10.086432160804,6.4315841435997
10,10.1371859296482,5.82210165332379
10,10.1879396984925,5.48570997016692
10,10.2386934673367,5.35278555940438
10,10.2894472361809,5.38937838104093
10,10.3402010050251,5.58493721390879
10,10.3909547738693,5.94790081802322
10,10.4417085427136,6.50651173133816
10,10.4924623115578,7.31486669973021
10,10.543216080402,8.46668496826676
10,10.5939698492462,10.1234162273865
10,10.6447236180905,12.5727203053536
10,10.6954773869347,16.3581464957368
10,10.7462311557789,22.5945613056077
10,10.7969849246231,33.8351829543333
10,10.8477386934673,56.8703938076548
10,10.8984924623116,113.842530046857
10,10.9492462311558,295.173462264334
10,11,759.164934166314
11,0.9,0.17200540052852
11,0.950753768844221,0.171698597157412
11,1.00150753768844,0.172142811548566
11,1.05226130653266,0.173260951784045
11,1.10301507537688,0.174998956826845
11,1.15376884422111,0.177320590316063
11,1.20452261306533,0.180203840745797
11,1.25527638190955,0.183638437372673
11,1.30603015075377,0.187624162752272
11,1.35678391959799,0.192169752231524
11,1.40753768844221,0.197292242381713
11,1.45829145728643,0.203016678674267
11,1.50904522613065,0.209376126457724
11,1.55979899497487,0.216411953986873
11,1.6105527638191,0.224174375451127
11,1.66130653266332,0.232723258075517
11,1.71206030150754,0.242129212196041
11,1.76281407035176,0.252474998165675
11,1.81356783919598,0.263857300324145
11,1.8643216080402,0.276388937402861
11,1.91507537688442,0.290201602183676
11,1.96582914572864,0.305449252920505
11,2.01658291457286,0.322312317519223
11,2.06733668341709,0.341002922234467
11,2.11809045226131,0.3617714245453
11,2.16884422110553,0.384914621820878
11,2.21959798994975,0.410786133339604
11,2.27035175879397,0.439809627731832
11,2.32110552763819,0.472495812526587
11,2.37185929648241,0.509464449566522
11,2.42261306532663,0.551473158941419
11,2.47336683417085,0.599455501144008
11,2.52412060301508,0.654571902579552
11,2.5748743718593,0.718278606038568
11,2.62562814070352,0.792422300192862
11,2.67638190954774,0.879371936427108
11,2.72713567839196,0.982205375984948
11,2.77788944723618,1.1049785008899
11,2.8286432160804,1.25312110914957
11,2.87939698492462,1.43403258314093
11,2.93015075376884,1.65800114966652
11,2.98090452261307,1.93966393203944
11,3.03165829145729,2.30040362280858
11,3.08241206030151,2.7724355108372
11,3.13316582914573,3.40609533526554
11,3.18391959798995,4.28354294094567
11,3.23467336683417,5.54623754995613
11,3.28542713567839,7.45457200161797
11,3.33618090452261,10.5310397858987
11,3.38693467336683,15.9528794354538
11,3.43768844221106,26.8482411978999
11,3.48844221105528,53.9611150012164
11,3.5391959798995,156.259482761381
11,3.58994974874372,1477.33643801718
11,3.64070351758794,862.809544905602
11,3.69145728643216,131.428334557592
11,3.74221105527638,50.6182033374036
11,3.7929648241206,26.8123420123181
11,3.84371859296482,16.6966659641404
11,3.89447236180905,11.4718003967434
11,3.94522613065327,8.42314738376386
11,3.99597989949749,6.48956008519883
11,4.04673366834171,5.18677223641976
11,4.09748743718593,4.26812586099873
11,4.14824120603015,3.5972347661868
11,4.19899497487437,3.09373299278275
11,4.24974874371859,2.70781526233916
11,4.30050251256282,2.40734189547002
11,4.35125628140704,2.1708924028153
11,4.40201005025126,1.98383065011891
11,4.45276381909548,1.83598392381144
11,4.5035175879397,1.72023170849773
11,4.55427135678392,1.63163263851486
11,4.60502512562814,1.56688699067564
11,4.65577889447236,1.52402311664133
11,4.70653266331658,1.50224942081663
11,4.7572864321608,1.50194925569778
11,4.80804020100503,1.52482667554542
11,4.85879396984925,1.57424667031503
11,4.90954773869347,1.65586792102405
11,4.96030150753769,1.77876424532588
11,5.01105527638191,1.95742663280662
11,5.06180904522613,2.21545892623182
11,5.11256281407035,2.59275534734818
11,5.16331658291457,3.16039848610598
11,5.21407035175879,4.05430344752334
11,5.26482412060301,5.55981815329901
11,5.31557788944724,8.35628464103363
11,5.36633165829146,14.366168398574
11,5.41708542713568,30.4421260453415
11,5.4678391959799,83.5537704459732
11,5.51859296482412,114.254874672469
11,5.56934673366834,41.4999579279143
11,5.62010050251256,17.2438302034859
11,5.67085427135678,9.12408423533109
11,5.721608040201,5.63718229905249
11,5.77236180904523,3.85602642587351
11,5.82311557788945,2.83235378357678
11,5.87386934673367,2.1926103939819
11,5.92462311557789,1.76716259217683
11,5.97537688442211,1.47039609485296
11,6.02613065326633,1.25545293704025
11,6.07688442211055,1.09499176604629
11,6.12763819095477,0.972211321872321
11,6.178391959799,0.876336689767956
11,6.22914572864322,0.800205816011238
