L,Freq,re,h,L2,max_re,Maior_que_anterior,Pico_re,Diferenca_fr_calculado_simulado
10,4.7572864321608,144.193075997347,0.479,10,144.193075997347,True,True,0.06385344506768842
11,4.30050251256282,140.642927713333,0.5268999999999999,11,140.642927713333,True,True,0.0337452515690817
12,3.94522613065327,96.8925064591728,0.5748,12,96.8925064591728,True,True,0.03403197474234387
13,3.64070351758794,179.64965059491,0.6227,13,179.64965059491,True,True,0.030370450593238285
14,3.38693467336683,140.608361865089,0.6706,14,140.608361865089,True,True,0.034482539728892814
15,3.18391959798995,77.4605074015909,0.7184999999999999,15,77.4605074015909,True,True,0.054964273261208785
16,2.98090452261307,155.398590612716,0.7664,16,155.398590612716,True,True,0.0475089056798752
17,2.77788944723618,114.548409639912,0.8143,17,114.548409639912,True,True,0.017046513651997053
18,2.62562814070352,46.826129673494,0.8622,18,46.826129673494,True,True,0.0181653700962352
19,2.52412060301508,60.8152786759358,0.9101,19,60.8152786759358,True,True,0.05389271507133708
20,2.37185929648241,108.598423471701,0.958,20,108.598423471701,True,True,0.025142802935854025
21,2.27035175879397,161.102915949756,1.0059,21,161.102915949756,True,True,0.03538366970201201
22,2.16884422110553,89.488250589968,1.0537999999999998,22,89.488250589968,True,True,0.035465590608660946
23,2.06733668341709,120.587471528012,1.1017,23,120.587471528012,True,True,0.026713645550519693
24,1.96582914572864,39.2699738186786,1.1496,24,39.2699738186786,True,True,0.01023206777317709
25,1.91507537688442,89.182549530005,1.1975,25,89.182549530005,True,True,0.03770218204717546
26,1.81356783919598,35.5024873847558,1.2454,26,35.5024873847558,True,True,0.00840130569862918
27,1.76281407035176,134.88521659847,1.2933,27,134.88521659847,True,True,0.024505556613570567
28,1.71206030150754,68.8770361120038,1.3412,28,68.8770361120038,True,True,0.03583423468857139
29,1.66130653266332,29.7573613438594,1.3891,29,29.7573613438594,True,True,0.042881364700178226
30,1.6105527638191,20.2621868334852,1.4369999999999998,30,20.2621868334852,True,True,0.04607510145472937
31,1.55979899497487,20.2362910236282,1.4849,31,20.2362910236282,True,True,0.04578835397709202
32,1.50904522613065,26.0098154160983,1.5328,32,26.0098154160983,True,True,0.04234741766405259
33,1.45829145728643,46.7723589089585,1.5807,33,46.7723589089585,True,True,0.03603903695518418
34,1.40753768844221,101.695159555426,1.6286,34,101.695159555426,True,True,0.0271162216501184
35,1.35678391959799,139.595336298039,1.6765,35,139.595336298039,True,True,0.01580306614281546
36,1.30603015075377,24.9784441846988,1.7244,36,24.9784441846988,True,True,0.0022987654501276378
37,1.30603015075377,26.7546851950942,1.7723,37,26.7546851950942,True,True,0.037534748836712595
38,1.25527638190955,132.989532702124,1.8202,38,132.989532702124,True,True,0.02016243793767858
39,1.20452261306533,24.9924080263403,1.8681,39,24.9924080263403,True,True,0.0010782574004295498
40,1.20452261306533,38.1303086811306,1.916,40,38.1303086811306,True,True,0.031164366292051993
