L,Freq,re,h,L2,max_re,Maior_que_anterior,Pico_re,Diferenca_fr_calculado_simulado
10,6.07688442211055,129.434140399427,0.479,[10],129.434140399427,True,True,0.03248508360839608
11,5.51859296482412,114.254874672469,0.5268999999999999,[11],114.254874672469,True,True,0.02368447527670714
12,5.06180904522613,134.438957245489,0.5748,[12],134.438957245489,True,True,0.024809596474335116
13,4.65577889447236,112.309514905772,0.6227,[13],112.309514905772,True,True,0.006240941778394848
14,4.30050251256282,139.827945134298,0.6706,[14],139.827945134298,True,True,0.01692558636728947
15,4.04673366834171,127.87996989021,0.7184999999999999,[15],127.87996989021,True,True,0.01713410934027415
16,3.7929648241206,137.512925961732,0.7664,[16],137.512925961732,True,True,0.015215237556754246
17,3.58994974874372,111.962397529876,0.8143,[17],111.962397529876,True,True,0.034420726095394816
18,3.38693467336683,106.380698621133,0.8622,[18],106.380698621133,True,True,0.028935040865633255
19,3.18391959798995,144.654013836607,0.9101,[19],144.654013836607,True,True,0.0026567882519743513
20,3.03165829145729,129.507677011588,0.958,[20],129.507677011588,True,True,0.009458622206213185
21,2.87939698492462,94.9920910052535,1.0059,[21],94.9920910052535,True,True,0.0011115856378807187
22,2.77788944723618,64.9539908154885,1.0537999999999998,[22],64.9539908154885,True,True,0.030435202462473665
23,2.62562814070352,73.9486827956859,1.1017,[23],73.9486827956859,True,True,0.0023715716887213745
24,2.52412060301508,111.459599869475,1.1496,[24],111.459599869475,True,True,0.005620878639182703
25,2.42261306532663,140.268129586833,1.1975,[25],140.268129586833,True,True,0.004853329925768701
26,2.32110552763819,69.1490485496006,1.2454,[26],69.1490485496006,True,True,0.0036634487087927603
27,2.27035175879397,70.114241045425,1.2933,[27],70.114241045425,True,True,0.031685337126505786
28,2.16884422110553,87.5429304165664,1.3412,[28],87.5429304165664,True,True,0.01013017164047536
29,2.06733668341709,40.4180780250553,1.3891,[29],40.4180780250553,True,True,0.016938950549169274
30,2.01658291457286,110.151756894175,1.4369999999999998,[30],110.151756894175,True,True,0.00178313507214245
31,1.96582914572864,130.164563348832,1.4849,[31],130.164563348832,True,True,0.016022907502139194
32,1.91507537688442,68.5451148189611,1.5328,[32],68.5451148189611,True,True,0.026200583602496996
33,1.8643216080402,37.2474309643263,1.5807,[33],37.2474309643263,True,True,0.032685444857729395
34,1.81356783919598,33.7550657112386,1.6286,[34],33.7550657112386,True,True,0.03580332787181728
35,1.76281407035176,37.3035098635893,1.6765,[35],37.3035098635893,True,True,0.035842830779716506
36,1.71206030150754,36.4839300765403,1.7244,[36],36.4839300765403,True,True,0.03306048525694161
37,1.66130653266332,48.9092890747945,1.7723,[37],48.9092890747945,True,True,0.027685089824900144
38,1.6105527638191,66.803310302695,1.8202,[38],66.803310302695,True,True,0.019921358950112156
39,1.55979899497487,126.232678065886,1.8681,[39],126.232678065886,True,True,0.009953010743548596
40,1.50904522613065,73.0340814411889,1.916,[40],73.0340814411889,True,True,0.002054608494888477
