L,Freq,re,h,L2,max_re,Maior_que_anterior,Pico_re,Diferenca_fr_calculado_simulado
10,6.99045226130653,75.6993129376593,0.479,[10],75.6993129376593,True,True,0.1555700697179816
11,6.4321608040201,70.324102095237,0.5268999999999999,[11],70.324102095237,True,True,0.06422313327491036
12,5.92462311557789,63.9877010855071,0.5748,[12],63.9877010855071,True,True,0.030395493609202795
13,5.4678391959799,66.41324562028,0.6227,[13],66.41324562028,True,True,0.029101058654339873
14,5.11256281407035,63.8868855180607,0.6706,[14],63.8868855180607,True,True,0.008261149052843031
15,4.7572864321608,62.6684359626469,0.7184999999999999,[15],62.6684359626469,True,True,0.006728455188873994
16,4.40201005025126,69.8881340443259,0.7664,[16],69.8881340443259,True,True,0.06425390663905972
17,4.14824120603015,66.8426431214296,0.8143,[17],66.8426431214296,True,True,0.05530134163132683
18,3.94522613065327,63.3568784156684,0.8622,[18],63.3568784156684,True,True,0.02478627547145873
19,3.74221105527638,69.1675501591958,0.9101,[19],69.1675501591958,True,True,0.018853329473362823
20,3.5391959798995,60.9799806017566,0.958,[20],60.9799806017566,True,True,0.03381518561275554
21,3.38693467336683,67.4301005154635,1.0059,[21],67.4301005154635,True,True,0.0159331033115091
22,3.23467336683417,68.1437639551746,1.0537999999999998,[22],68.1437639551746,True,True,0.013518601813335085
23,3.08241206030151,65.1631544749078,1.1017,[23],65.1631544749078,True,True,0.02455417057871223
24,2.98090452261307,64.880351736774,1.1496,[24],64.880351736774,True,True,0.0033952180195235826
25,2.8286432160804,56.6406044036721,1.1975,[25],56.6406044036721,True,True,0.0297657163294045
26,2.72713567839196,69.4799584897471,1.2454,[26],69.4799584897471,True,True,0.02133444892516012
27,2.62562814070352,60.0633366755974,1.2933,[27],60.0633366755974,True,True,0.021046796712965943
28,2.52412060301508,55.7668034290741,1.3412,[28],55.7668034290741,True,True,0.02803022949367362
29,2.47336683417085,51.8824848426688,1.3891,[29],51.8824848426688,True,True,0.0092212027830878
30,2.37185929648241,66.0561938219752,1.4369999999999998,[30],66.0561938219752,True,True,0.010148147192427182
31,2.27035175879397,49.0859375238815,1.4849,[31],49.0859375238815,True,True,0.03481673508490468
32,2.21959798994975,63.4347136279457,1.5328,[32],63.4347136279457,True,True,0.013533988495409766
33,2.16884422110553,59.2322684965604,1.5807,[33],59.2322684965604,True,True,0.003382908673859486
34,2.06733668341709,54.1808854263648,1.6286,[34],54.1808854263648,True,True,0.03443459041364827
35,2.01658291457286,55.7801086108125,1.6765,[35],55.7801086108125,True,True,0.02513775143414332
36,1.96582914572864,56.9385426357121,1.7244,[36],56.9385426357121,True,True,0.019177057333724212
37,1.91507537688442,59.6023316883325,1.7723,[37],59.6023316883325,True,True,0.016282009878961556
38,1.8643216080402,62.9404022051063,1.8202,[38],62.9404022051063,True,True,0.016210584334671374
39,1.81356783919598,60.5412798413983,1.8681,[39],60.5412798413983,True,True,0.018745579015433167
40,1.76281407035176,47.6585790758351,1.916,[40],47.6585790758351,True,True,0.02369151240436773
